date,feature_index,CO
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2026-07-02T00:00:00.000Z,0,0.02716304361820221
2026-07-04T00:00:00.000Z,0,0.022433007135987282
2026-07-03T00:00:00.000Z,0,0.022795161232352257
2026-07-01T00:00:00.000Z,0,0.03186831250786781
2026-06-29T00:00:00.000Z,0,
2026-06-30T00:00:00.000Z,0,0.024768149480223656
2026-07-05T00:00:00.000Z,0,0.030121808871626854
2026-06-28T00:00:00.000Z,0,0.024487728253006935
2026-02-03T00:00:00.000Z,0,0.031183935701847076
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,0.03026355803012848
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,0.026250459253787994
2026-02-02T00:00:00.000Z,0,0.03321553394198418
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,0.029732724651694298
2026-04-21T00:00:00.000Z,0,
2026-04-20T00:00:00.000Z,0,0.02639472857117653
2026-04-19T00:00:00.000Z,0,0.030186893418431282
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,0.030845481902360916
2026-04-17T00:00:00.000Z,0,0.029097875580191612
2026-04-24T00:00:00.000Z,0,
2026-04-23T00:00:00.000Z,0,
2026-08-28T00:00:00.000Z,0,0.034731362015008926
2026-08-25T00:00:00.000Z,0,0.03074345923960209
2026-08-27T00:00:00.000Z,0,0.03400807827711105
2026-08-24T00:00:00.000Z,0,0.029695134609937668
2026-08-26T00:00:00.000Z,0,0.030571753159165382
2026-08-23T00:00:00.000Z,0,0.035256046801805496
2026-07-09T00:00:00.000Z,0,0.031752802431583405
2026-07-10T00:00:00.000Z,0,
2026-07-07T00:00:00.000Z,0,0.029858451336622238
2026-07-08T00:00:00.000Z,0,0.025707125663757324
2026-07-11T00:00:00.000Z,0,
2026-07-13T00:00:00.000Z,0,0.03359038382768631
2026-07-06T00:00:00.000Z,0,0.032318759709596634
2026-07-12T00:00:00.000Z,0,0.03054482489824295
2025-10-11T00:00:00.000Z,0,0.033562108874320984
2025-10-12T00:00:00.000Z,0,0.029695235192775726
2025-10-14T00:00:00.000Z,0,0.03058224357664585
2025-10-09T00:00:00.000Z,0,0.0307775866240263
2025-10-13T00:00:00.000Z,0,
2025-10-10T00:00:00.000Z,0,0.032498426735401154
2025-10-07T00:00:00.000Z,0,
2025-10-08T00:00:00.000Z,0,0.036530666053295135
2025-12-15T00:00:00.000Z,0,0.02758117765188217
2025-12-10T00:00:00.000Z,0,0.03429122269153595
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,0.026622749865055084
2025-12-12T00:00:00.000Z,0,
2025-12-13T00:00:00.000Z,0,
2025-12-11T00:00:00.000Z,0,0.02948962338268757
2025-12-14T00:00:00.000Z,0,
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,0.027523042634129524
2025-11-25T00:00:00.000Z,0,0.02712494693696499
2025-11-28T00:00:00.000Z,0,
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,0.0340835303068161
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,0.026369938626885414
2026-04-13T00:00:00.000Z,0,0.02229420840740204
2026-04-15T00:00:00.000Z,0,0.028726933524012566
2026-04-12T00:00:00.000Z,0,
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,0.024974346160888672
2026-08-10T00:00:00.000Z,0,0.0305829755961895
2026-08-07T00:00:00.000Z,0,0.03067724034190178
2026-08-09T00:00:00.000Z,0,0.027017593383789062
2026-08-08T00:00:00.000Z,0,
2026-08-13T00:00:00.000Z,0,0.029685575515031815
2026-08-12T00:00:00.000Z,0,0.0337337926030159
2026-08-11T00:00:00.000Z,0,0.03734502196311951
2026-08-14T00:00:00.000Z,0,0.034217093139886856
2026-04-06T00:00:00.000Z,0,
2026-04-02T00:00:00.000Z,0,
2026-04-05T00:00:00.000Z,0,
2026-04-04T00:00:00.000Z,0,
2026-04-08T00:00:00.000Z,0,0.027748124673962593
2026-04-01T00:00:00.000Z,0,
2026-04-03T00:00:00.000Z,0,0.02432730607688427
2026-04-07T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,0.03253629803657532
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,0.02758162096142769
2025-11-16T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,0.02921200543642044
2026-03-05T00:00:00.000Z,0,0.02763778157532215
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,0.028249433264136314
2026-02-28T00:00:00.000Z,0,0.02406436763703823
2026-03-07T00:00:00.000Z,0,0.027865227311849594
2026-05-02T00:00:00.000Z,0,
2026-04-26T00:00:00.000Z,0,0.02365713007748127
2026-04-25T00:00:00.000Z,0,0.029483791440725327
2026-05-01T00:00:00.000Z,0,0.025401005521416664
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,
2026-07-21T00:00:00.000Z,0,0.034498926252126694
2026-07-15T00:00:00.000Z,0,0.027665700763463974
2026-07-20T00:00:00.000Z,0,0.024244002997875214
2026-07-17T00:00:00.000Z,0,0.027178453281521797
2026-07-16T00:00:00.000Z,0,0.02891063690185547
2026-07-14T00:00:00.000Z,0,
2026-07-19T00:00:00.000Z,0,0.029828129336237907
2026-07-18T00:00:00.000Z,0,0.030761798843741417
