date,feature_index,SO2
2025-12-05T00:00:00.000Z,0,-1.7131482309196144E-4
2025-12-02T00:00:00.000Z,0,
2025-12-06T00:00:00.000Z,0,-1.4920135436113924E-4
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,
2025-12-03T00:00:00.000Z,0,-3.858510754071176E-4
2025-12-07T00:00:00.000Z,0,9.758176020113751E-6
2026-01-03T00:00:00.000Z,0,
2026-01-04T00:00:00.000Z,0,
2026-01-06T00:00:00.000Z,0,1.0914356244029477E-4
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,5.740935448557138E-4
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,
2026-03-30T00:00:00.000Z,0,
2026-03-24T00:00:00.000Z,0,-3.938082227250561E-5
2026-03-31T00:00:00.000Z,0,
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,-3.1641541863791645E-4
2026-03-25T00:00:00.000Z,0,
2026-03-29T00:00:00.000Z,0,3.629899874795228E-4
2026-06-03T00:00:00.000Z,0,1.553635229356587E-4
2026-05-29T00:00:00.000Z,0,4.50985535280779E-4
2026-06-02T00:00:00.000Z,0,-1.6447251255158335E-4
2026-06-01T00:00:00.000Z,0,7.325481419684365E-5
2026-05-30T00:00:00.000Z,0,
2026-05-28T00:00:00.000Z,0,-1.962227834155783E-4
2026-05-27T00:00:00.000Z,0,
2026-05-31T00:00:00.000Z,0,7.578740041935816E-5
2026-07-02T00:00:00.000Z,0,3.642283845692873E-4
2026-07-04T00:00:00.000Z,0,-2.942910650745034E-4
2026-07-03T00:00:00.000Z,0,-1.9112264271825552E-4
2026-07-01T00:00:00.000Z,0,1.529251312604174E-4
2026-06-29T00:00:00.000Z,0,-1.6124426110764034E-5
2026-06-30T00:00:00.000Z,0,-1.2950142263434827E-4
2026-07-05T00:00:00.000Z,0,-1.3365820632316172E-4
2026-06-28T00:00:00.000Z,0,4.1194906225427985E-4
2025-10-18T00:00:00.000Z,0,4.2926325113512576E-4
2025-10-19T00:00:00.000Z,0,-8.704628271516412E-5
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,4.308893403504044E-5
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,-2.6577801327221096E-4
2026-04-21T00:00:00.000Z,0,
2026-04-20T00:00:00.000Z,0,-1.779242666088976E-6
2026-04-19T00:00:00.000Z,0,3.077189903706312E-4
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,6.588160176761448E-4
2026-04-17T00:00:00.000Z,0,6.801917334087193E-4
2026-04-24T00:00:00.000Z,0,
2026-04-23T00:00:00.000Z,0,-2.905074506998062E-4
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2026-02-03T00:00:00.000Z,0,-1.4770492271054536E-4
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,3.422070585656911E-4
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,-5.775854788225843E-6
2026-02-02T00:00:00.000Z,0,8.053500641835853E-5
2026-01-27T00:00:00.000Z,0,
2026-01-30T00:00:00.000Z,0,
2026-05-08T00:00:00.000Z,0,9.907571075018495E-5
2026-05-06T00:00:00.000Z,0,2.354188181925565E-4
2026-05-10T00:00:00.000Z,0,-2.5208870283677243E-5
2026-05-03T00:00:00.000Z,0,5.804057218483649E-5
2026-05-07T00:00:00.000Z,0,-1.0655337246134877E-4
2026-05-09T00:00:00.000Z,0,
2026-05-04T00:00:00.000Z,0,-7.296933472389355E-5
2026-05-05T00:00:00.000Z,0,
2026-05-15T00:00:00.000Z,0,0.0010916482424363494
2026-05-17T00:00:00.000Z,0,2.623937325552106E-4
2026-05-11T00:00:00.000Z,0,-1.9544707902241498E-4
2026-05-16T00:00:00.000Z,0,
2026-05-18T00:00:00.000Z,0,3.8837629836052656E-4
2026-05-12T00:00:00.000Z,0,-2.0099290122743696E-4
2026-05-14T00:00:00.000Z,0,7.978355279192328E-4
2026-05-13T00:00:00.000Z,0,4.8386878916062415E-4
2026-07-28T00:00:00.000Z,0,-4.605851136147976E-4
2026-07-24T00:00:00.000Z,0,2.5306682800874114E-4
2026-07-25T00:00:00.000Z,0,1.3932039109931793E-5
2026-07-26T00:00:00.000Z,0,1.8530954548623413E-4
2026-07-22T00:00:00.000Z,0,1.8815127259586006E-4
2026-07-29T00:00:00.000Z,0,3.5595890949480236E-4
2026-07-23T00:00:00.000Z,0,-1.0189296881435439E-4
2026-07-27T00:00:00.000Z,0,
2025-11-06T00:00:00.000Z,0,2.823024115059525E-4
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,1.2754026101902127E-4
2025-11-07T00:00:00.000Z,0,-6.30380236543715E-5
